candidate_id,rank,score,education,skills,location,experience_years,reasoning
CAND_0008295,1,0.89,m.tech in computer engineering; m.tech in mathematics,"bm25, kubernetes, python, peft, computer vision","pune, maharashtra",6.5,Strong ML background with 6.5 years experience; Strong title match: ai research engineer
CAND_0006567,2,0.885,b.sc in machine learning,"speech recognition, scikit-learn, search backend, model adaptation, vector representations","noida, uttar pradesh",7.9,Built ranking systems at scale; Strong title match: senior ai engineer
CAND_0064326,3,0.875,b.tech in computer science,"scikit-learn, pytorch, milvus, deep learning, semantic search","gurgaon, haryana",7.6,Built ranking systems at scale; Strong title match: search engineer
CAND_0015578,4,0.87,b.e. in artificial intelligence; ph.d in machine learning,"diffusion models, embeddings, nlp, data science, kafka","delhi, delhi",5.4,Deep embeddings and vector search experience; Strong title match: ai engineer
CAND_0064130,5,0.87,m.s. in artificial intelligence,"lora, object detection, weights & biases, python, cnn","chennai, tamil nadu",6.7,Built ranking systems at scale; Strong title match: ai research engineer
CAND_0098952,6,0.87,m.sc in computer science,"airflow, recommendation systems, statistical modeling, redis, object detection","gurgaon, haryana",5.5,Built ranking systems at scale; Strong title match: ai research engineer
CAND_0058688,7,0.87,m.tech in machine learning,"opencv, cnn, scikit-learn, object detection, llamaindex",berlin,6.7,Built ranking systems at scale; Strong title match: ai engineer
CAND_0062247,8,0.87,m.e. in machine learning; b.sc in information technology,"image classification, opencv, reinforcement learning, asr, pinecone","kochi, kerala",7.3,Built ranking systems at scale; Strong title match: ai engineer
CAND_0081846,9,0.87,b.e. in data science; ph.d in computer engineering,"data science, information retrieval, llamaindex, pgvector, forecasting","jaipur, rajasthan",6.7,Built ranking systems at scale; Strong title match: lead ai engineer
CAND_0008517,10,0.865,m.e. in statistics,"gans, feature engineering, speech recognition, lora, recommendation systems","noida, uttar pradesh",5.6,Built ranking systems at scale; Strong title match: ai research engineer
CAND_0010541,11,0.865,b.tech in computer science; m.sc in computer engineering,"pinecone, gans, weaviate, computer vision, tts","hyderabad, telangana",6.2,Built ranking systems at scale; Strong title match: ai research engineer
CAND_0050454,12,0.865,m.s. in machine learning; ph.d in data science,"pytorch, langchain, qlora, fine-tuning llms, faiss","delhi, delhi",6.8,Built ranking systems at scale; Strong title match: ai engineer
CAND_0046525,13,0.865,m.s. in computer engineering; m.sc in information technology,"elasticsearch, redux, langchain, machine learning, llamaindex","pune, maharashtra",6.1,Built ranking systems at scale; Relevant title: senior machine learning engineer
CAND_0003841,14,0.86,m.e. in computer engineering,"airflow, spring boot, diffusion models, statistical modeling, pinecone","pune, maharashtra",5.0,Built ranking systems at scale; Relevant title: ml engineer
CAND_0031593,15,0.86,ph.d in information technology,"haystack, opencv, hugging face transformers, cnn, java","kolkata, west bengal",7.8,Built ranking systems at scale; Strong title match: search engineer
CAND_0064904,16,0.86,b.tech in information technology; m.e. in data science,"embeddings, hugging face transformers, elasticsearch, diffusion models, forecasting","hyderabad, telangana",4.9,Built ranking systems at scale; Strong title match: ai engineer
CAND_0092706,17,0.86,b.sc in data science,"weights & biases, speech recognition, data science, agile, sentence transformers","delhi, delhi",5.8,Built ranking systems at scale; Strong title match: ai research engineer
CAND_0098846,18,0.86,ph.d in machine learning,"yolo, kubeflow, hugging face transformers, hadoop, peft","indore, madhya pradesh",7.6,Built ranking systems at scale; Strong title match: ai engineer
CAND_0006418,19,0.86,m.s. in data science,"kubernetes, grpc, semantic search, embeddings, tensorflow","gurgaon, haryana",5.7,Built ranking systems at scale; Relevant title: machine learning engineer
CAND_0073620,20,0.855,m.sc in computer engineering,"tts, asr, lora, semantic search, python","noida, uttar pradesh",4.4,Built ranking systems at scale; Strong title match: ai research engineer
CAND_0097176,21,0.855,ph.d in computer engineering; m.e. in data science,"angular, faiss, speech recognition, llamaindex, gans","gurgaon, haryana",5.9,Built ranking systems at scale; Relevant title: ml engineer
CAND_0011327,22,0.855,b.tech in computer engineering,"time series, sales, weights & biases, mlflow, sentence transformers","gurgaon, haryana",6.3,Built ranking systems at scale; Strong title match: ai research engineer
CAND_0018499,23,0.855,b.sc in artificial intelligence; m.s. in data science,"deep learning, weaviate, recommendation systems, scikit-learn, diffusion models","noida, uttar pradesh",7.2,Built ranking systems at scale; Relevant title: senior machine learning engineer
